fips,nameState,nameCounty,abState,Community Functioning,Preparedness and Response,Internal Resources,Prevention Mitigation,Population Vulnerability Inequality Deprivation,Social Cohesion,abs_Resilience,rel_Resilience,Resistance,Recovery
1001,Alabama,Autauga County,AL,0.472073448,0.566332075,0.386452842,0.57611013,0.551311282,0.497647134,0.367857523,0.779237902,0.492638768,0.076751103
1003,Alabama,Baldwin County,AL,0.489997378,0.65056888,0.520135632,0.649645151,0.495819209,0.462335757,0.388354283,0.792564003,0.50271283,0.081004172
1005,Alabama,Barbour County,AL,0.452910169,0.492479507,0.40266381,0.501592122,0.382095877,0.383754625,0.325493509,0.718671232,0.403632366,0.069262607
1007,Alabama,Bibb County,AL,0.465102077,0.460229051,0.385768266,0.507756342,0.506440511,0.401222641,0.34244102,0.736270674,0.445534407,0.068325475
1009,Alabama,Blount County,AL,0.441023912,0.551530926,0.311547999,0.513655963,0.530920302,0.495537931,0.335883959,0.761600334,0.460947039,0.075192705
1011,Alabama,Bullock County,AL,0.397206747,0.262509235,0.349963836,0.419900325,0.394236384,0.521549638,0.264105179,0.664906074,0.372222099,0.05717819
1013,Alabama,Butler County,AL,0.422266743,0.467376976,0.446857653,0.475609757,0.387395243,0.476146292,0.302119807,0.71547147,0.396717054,0.069111802
1015,Alabama,Calhoun County,AL,0.456892127,0.627539403,0.317613007,0.522381377,0.44022541,0.469249667,0.346632463,0.758674626,0.435746673,0.078680752
1017,Alabama,Chambers County,AL,0.435651128,0.523982821,0.324304188,0.475898005,0.406210529,0.471353836,0.317524719,0.728850906,0.40524819,0.072423222
1019,Alabama,Cherokee County,AL,0.476873197,0.496124604,0.417564037,0.493427664,0.445059387,0.438543315,0.348833149,0.73150085,0.42198935,0.070650062
1021,Alabama,Chilton County,AL,0.407029467,0.513748472,0.433478046,0.552867504,0.447207845,0.380471572,0.302007683,0.741979898,0.442366206,0.070965968
1023,Alabama,Choctaw County,AL,0.422954284,0.423213997,0.454274948,0.440192005,0.349277431,0.680915071,0.298621178,0.706036539,0.374613744,0.069176353
1025,Alabama,Clarke County,AL,0.411511805,0.491761736,0.420311946,0.520392009,0.335834902,0.638393871,0.299123218,0.726888548,0.397058699,0.072779052
1027,Alabama,Clay County,AL,0.436717949,0.452793887,0.438423776,0.452138485,0.467601392,0.580190485,0.317784213,0.727664648,0.414960776,0.070181442
1029,Alabama,Cleburne County,AL,0.42222171,0.442984824,0.402937524,0.421743134,0.429653254,0.489066537,0.299576581,0.709524341,0.392161886,0.067824922
1031,Alabama,Coffee County,AL,0.435024206,0.573895757,0.460808134,0.550744374,0.477336175,0.430971906,0.330252657,0.759159266,0.455363556,0.075345692
