fips,nameState,nameCounty,abState,Community Functioning,Preparedness and Response,Internal Resources,Prevention Mitigation,Population Vulnerability Inequality Deprivation,Social Cohesion,abs_Resilience,rel_Resilience,Resistance,Recovery
1001,Alabama,Autauga County,AL,0.472073448,0.566332075,0.386452842,0.57611013,0.551311282,0.497647134,0.440297841,0.932689274,0.834232367,0.082477522
1003,Alabama,Baldwin County,AL,0.489997378,0.65056888,0.520135632,0.649645151,0.495819209,0.462335757,0.45913876,0.937022893,0.838462934,0.086524316
1005,Alabama,Barbour County,AL,0.452910169,0.492479507,0.40266381,0.501592122,0.382095877,0.383754625,0.41131176,0.908153069,0.791047719,0.074939104
1007,Alabama,Bibb County,AL,0.465102077,0.460229051,0.385768266,0.507756342,0.506440511,0.401222641,0.426429379,0.91685116,0.812467367,0.074064815
1009,Alabama,Blount County,AL,0.441023912,0.551530926,0.311547999,0.513655963,0.530920302,0.495537931,0.408156821,0.92547549,0.819640405,0.08079798
1011,Alabama,Bullock County,AL,0.397206747,0.262509235,0.349963836,0.419900325,0.394236384,0.521549638,0.353007165,0.888723991,0.775362532,0.063538589
1013,Alabama,Butler County,AL,0.422266743,0.467376976,0.446857653,0.475609757,0.387395243,0.476146292,0.382877156,0.906718709,0.787602141,0.074964387
1015,Alabama,Calhoun County,AL,0.456892127,0.627539403,0.317613007,0.522381377,0.44022541,0.469249667,0.42176355,0.923114068,0.807141903,0.084388319
1017,Alabama,Chambers County,AL,0.435651128,0.523982821,0.324304188,0.475898005,0.406210529,0.471353836,0.397174017,0.911679074,0.7918958,0.078265039
1019,Alabama,Cherokee County,AL,0.476873197,0.496124604,0.417564037,0.493427664,0.445059387,0.438543315,0.435948863,0.914181936,0.800727581,0.076883891
1021,Alabama,Chilton County,AL,0.407029467,0.513748472,0.433478046,0.552867504,0.447207845,0.380471572,0.37342815,0.917447457,0.810564463,0.075705092
1023,Alabama,Choctaw County,AL,0.422954284,0.423213997,0.454274948,0.440192005,0.349277431,0.680915071,0.382061662,0.903316687,0.776181232,0.07646058
1025,Alabama,Clarke County,AL,0.411511805,0.491761736,0.420311946,0.520392009,0.335834902,0.638393871,0.374897127,0.911023993,0.787956538,0.079270226
1027,Alabama,Clay County,AL,0.436717949,0.452793887,0.438423776,0.452138485,0.467601392,0.580190485,0.398622665,0.912769136,0.797498047,0.076751103
1029,Alabama,Cleburne County,AL,0.42222171,0.442984824,0.402937524,0.421743134,0.429653254,0.489066537,0.381940629,0.904597324,0.785301432,0.073843285
1031,Alabama,Coffee County,AL,0.435024206,0.573895757,0.460808134,0.550744374,0.477336175,0.430971906,0.401979575,0.924039558,0.816790065,0.080505233
1033,Alabama,Colbert County,AL,0.491806775,0.548447959,0.473422125,0.526478651,0.469131171,0.400136247,0.452738469,0.920561677,0.811016097,0.079241956
1035,Alabama,Conecuh County,AL,0.380273907,0.432341166,0.604256822,0.467851838,0.305850415,0.628200426,0.342335651,0.900234398,0.773020892,0.074812944
